company_address,company_name,company_tel,idfa,imei,imsi,ip,mac,phone1,phone2,uid,user_flag,zhuce_phone
4760fdf6a4104788421b17f13d4d5cd2,1f757fb5100d647fc8dd1df5fcfbaf17,154875cbfc2838d6ccd1c5127c6d4718,ed7acb6d77bcf88368aef85859fc0a04,,,f6bb813b7fbfafbc875f0c9b87264841,5f1154a8ead9163e3e66c49a58bce059,f3e10b9cb6a09c2f8f43407b0b295317,57451c1f796743975878828f32003488,1097718,0,2811105230070a24c7abeab8df9a3aa8
8db3a474673b18c8d5b8cb5132a79d89,4579d14dbbff690cc9785746b40a67a9,4ab8ded45bf3a53b65738f67c6fef9ee,f56fc77572f09d2176d90e8888ede8e9,,,589e2464195a3599a4c2070994e9dfa1,5f1154a8ead9163e3e66c49a58bce059,ab0924450cb1e1281d78e6003708db2e,099665896fc5c677fa0a8f5a24b3217a,1097719,0,c18b88cf18235ca1bd0e47c5a352b13a
09a69612d1bb02578a45152f2bd1a88e,8d9ea7dd2387ab8f13be04ac75aa1ccb,4ecac1dba86e2cd37a35ad5a65166284,,102d3fdd33649d72660c10f32760ed75,e02d60c947168e5ece60be94f55f6889,2dea5d0dd6d08c0cc50a8f0f506f965e,bdf1787b05ba5647206c34d7c363a69f,02240c2af4a400a34d3a5e10fc645c8b,173f3e9b90feb56ac961b5baaba9edc5,1097720,0,e3b5b97b5d3d5f8c3c27fd7c869df791
bbf5a8b1855b0cab084b70d6a551db68,ab09cd055031a8cbb65bea7bca081268,4b69eab481d633a9aa2677a2b575dfcb,,73862b93725446b72626b62f33829d6d,a4861a2c2a3bbff17c91bf2a25159797,c2fa580cd1985a45a1128eb928b84cc0,72b984bb0e801161be2e622f85a60a51,08c6a0bff4fcc22fbd740cdcb43853ef,485916e008dbc0f6aac11727e8b62920,1097721,0,5f1c1fff7c1a695a106f070700ba5668
0f37c0acde38858bf5b0e0f7b05a5c1f,1b1b6c722a49a395f5b99eb9081e4b58,d68ed57400adccb36a42d825ee326933,,1210f9ab44cd0fc4a1cb9b3c11167656,91b062ae13eeca22ab71d789c749c5d5,,,a5e12aa107ea99314918b99113625b88,8e9c3d675e789b1342b95a7babb61af5,1097722,0,ab3ded3f37d2daa01ce3699e5cbedd6f
b412feb0e33508e0438b10f1ba3ad8cc,88e067938ea285af910c65d332d33cbc,85f65f1682a440f1e6b1671a5042c1f3,,6d757dc03d96f1bf03389668994f9b77,3279c3ea34ebe7d884f111f4814bb9cd,74c899fe0ba0062e7a66644b7da391aa,9c77cc5833d7e83b5242e5cda001b1f4,96f260440bd27e5dc1014b1accd56963,eca8a54d4170b7e85e982d77405470bc,1097723,0,37b95bf4c7a83a88d10ab5145d6d487f
c75d19f6ca6e67e211785baf64970e20,98d712bc31d7899734502fbd2626a10d,1dad93862314251fdc5d61b99ed50e43,,,,,,1dad93862314251fdc5d61b99ed50e43,582caf9b95b558f05b08776ed72bbf56,1097724,0,faf13fb9589b7aec392ef50bd4ce7609
d01e880930a3f321129a1b02ff828221,11f450b1a98ed7f89dcc5276012a4fa2,e5bd3a798568de8b9b3487a953b3a59a,,,,536347a394f91724ff2c4ef7fc981462,,6cb51ef4794573bd893749f0f10b009f,bb8d925401101bb543d2bc1c286da0d4,1097725,0,6bee5b2520e075f015e310a51112b0bc
e1478c4df10d79aad88b5691770e4220,179dd000a18a8eb1256e3a43d7a54a51,f3009ea954c09b04857b4060f6838960,,,,,,99c4e01da69d3e5f75187ff93c7c6269,fd709e03b1de2ffb8410f9066ff47f19,1097726,0,f3009ea954c09b04857b4060f6838960
1900343bf92460a286c7bb748cdb1f05,e0264349ef2819bd1677713b9b49cb97,e2f15c735f5d101ea5f4aba6adba3938,ca5ac0a629a1705d11cd740af8604aec,,,,,9fb8bed7f1709598c2d18160e748f3b4,d92bda3562f9da7775fa95fbd360949b,1097727,0,31649c955d3b4c8b976614433607ea3f
